,AnalysisNumber,NumberTechObsWinAerisSC,NumberSCWinPoly,BackgroundObsNum,BaselinePercentile,CH4Shift,MinR,minElevated,ElevationThreshold,NumberTechObsWinAeris,PercSC_tot,Buffer
0,0,109,363,102.0,med,4,-1,1,0.07,139,0.7841726618705036,100
0,1,110,368,102.0,med,3,-1,1,0.07,139,0.7913669064748201,100
0,2,112,370,102.0,med,2,-1,1,0.07,139,0.8057553956834532,100
0,3,105,286,102.0,med,2,70,1,0.03,139,0.7553956834532374,100
0,4,108,279,102.0,med,0,70,1,0.04,139,0.7769784172661871,100
0,5,97,176,102.0,med,2,70,1,0.10,139,0.697841726618705,100
0,6,112,396,102.0,med,2,0,1,0.06,139,0.8057553956834532,100
0,7,111,376,102.0,med,0,0,1,0.07,139,0.7985611510791367,100
0,8,111,366,75.0,med,2,-1,1,0.07,139,0.7985611510791367,100
0,9,112,377,204.0,med,2,-1,1,0.07,139,0.8057553956834532,100
0,10,114,440,102.0,med,0,-1,1,0.07,139,0.8201438848920863,100
0,11,111,399,102.0,q1,2,-1,1,0.07,139,0.7985611510791367,100
0,12,110,455,75.0,q1,2,-1,1,0.06,139,0.7913669064748201,100
0,13,112,392,102.0,med,1,-1,1,0.07,139,0.8057553956834532,100
0,14,107,324,102.0,med,2,0,2,0.07,139,0.7697841726618705,100
0,15,113,539,102.0,med,0,-1,1,0.05,139,0.8129496402877698,100
0,16,111,456,204.0,q1,2,-1,1,0.06,139,0.7985611510791367,100
0,17,112,397,75.0,med,2,-1,1,0.06,139,0.8057553956834532,100
0,18,112,415,102.0,med,2,-1,1,0.06,139,0.8057553956834532,100
0,19,113,406,102.0,med,0,0,1,0.06,139,0.8129496402877698,100
0,20,111,359,102.0,med,2,0,1,0.07,139,0.7985611510791367,100
0,21,113,475,204.0,med,2,-1,1,0.05,139,0.8129496402877698,100
0,22,106,249,102.0,med,0,70,1,0.05,139,0.762589928057554,100
0,23,113,387,102.0,med,0,30,1,0.05,139,0.8129496402877698,100
0,24,109,416,102.0,med,3,-1,1,0.06,139,0.7841726618705036,100
0,25,111,361,102.0,med,2,0,2,0.06,139,0.7985611510791367,100
0,26,114,472,102.0,med,1,-1,1,0.05,139,0.8201438848920863,100
0,27,109,411,102.0,med,4,-1,1,0.06,139,0.7841726618705036,100
0,28,110,461,102.0,q1,2,-1,1,0.06,139,0.7913669064748201,100
0,29,114,398,102.0,med,2,0,2,0.05,139,0.8201438848920863,100
0,30,110,465,102.0,med,3,-1,1,0.05,139,0.7913669064748201,100
0,31,111,462,102.0,med,4,-1,1,0.05,139,0.7985611510791367,100
0,32,114,432,102.0,med,1,-1,1,0.06,139,0.8201438848920863,100
0,33,115,525,102.0,q1,2,-1,1,0.05,139,0.8273381294964028,100
0,34,114,483,102.0,med,0,-1,1,0.06,139,0.8201438848920863,100
0,35,115,448,75.0,med,2,-1,1,0.05,139,0.8273381294964028,100
0,36,113,457,102.0,med,2,-1,1,0.05,139,0.8129496402877698,100
0,37,113,449,102.0,med,0,0,1,0.05,139,0.8129496402877698,100
0,38,107,233,102.0,med,0,70,1,0.06,139,0.7697841726618705,100
0,39,109,417,204.0,med,2,-1,1,0.06,139,0.7841726618705036,100
