,index,OBJECTID,X1,Time_Stamp,CH4__ppm_,C2H6__ppb_,R,C2_C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,PolyLK,win,DateFound,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,geometry,within
0,0,1,0,2020-06-17T02:27:42Z,2.56965,7.988,0.978,0.011,0.545,270.4,23,5.2,3,33.7491111755,-86.5940475464,P1,1,P1L1,TRUE,2020-06-17,1.0,1,1.89854897522e-05,2.82770076048e-11,"POLYGON ((-86.59404754620306 33.7491139232402, -86.59404701820114 33.74911388724007, -86.59404650419924 33.74911378223965, -86.59404601719746 33.74911360823904, -86.59404557019587 33.74911337223818, -86.59404517419443 33.74911307923713, -86.5940448391932 33.74911273623587, -86.59404457419225 33.74911235323447, -86.59404438619157 33.74911194023298, -86.59404428019116 33.74911150623137, -86.59404425919109 33.74911106422979, -86.59404432319133 33.74911062522818, -86.59404447019188 33.74911020122664, -86.59404469719266 33.74910980122519, -86.59404499819379 33.74910943722386, -86.59404536519509 33.74910911822269, -86.59404578819664 33.74910885222175, -86.59404625719833 33.74910864722102, -86.59404675920018 33.74910850722051, -86.59404728120205 33.74910843622024, -86.59404781120401 33.74910843622024, -86.59404833320588 33.74910850722051, -86.59404883520773 33.74910864722102, -86.59404930420942 33.74910885222175, -86.59404972721097 33.74910911822269, -86.59405009421232 33.74910943722386, -86.5940503952134 33.74910980122519, -86.59405062221424 33.74911020122664, -86.59405076921473 33.74911062522818, -86.59405083321496 33.74911106422979, -86.5940508122149 33.74911150623137, -86.59405070621455 33.74911194023298, -86.59405051821386 33.74911235323447, -86.59405025321286 33.74911273623587, -86.59404991821168 33.74911307923713, -86.59404952221024 33.74911337223818, -86.5940490752086 33.74911360823904, -86.59404858820682 33.74911378223965, -86.59404807420498 33.74911388724007, -86.59404754620306 33.7491139232402))",True
1,1,2,3,2020-06-16T02:41:57Z,2.18462,5.727,0.756,0.014,0.16,161.6,8,2.8,1,33.7488899231,-86.5944137573,P1,4,P1L10,TRUE,2020-06-16,1.0,2,1.89854897672e-05,2.82770076384e-11,"POLYGON ((-86.59441375753437 33.74889267143584, -86.59441322953245 33.74889263543571, -86.59441271553061 33.74889253043534, -86.59441222852882 33.74889235643468, -86.59441178152719 33.74889212043382, -86.59441138552575 33.74889182743277, -86.59441105052451 33.74889148443151, -86.59441078552356 33.7488911014301, -86.59441059752288 33.74889068842862, -86.59441049152252 33.74889025442707, -86.5944104705224 33.74888981242543, -86.59441053452264 33.74888937342382, -86.59441068152319 33.74888894942228, -86.59441090852403 33.74888854942083, -86.59441120952511 33.7488881854195, -86.59441157652645 33.74888786641839, -86.59441199952801 33.74888760041739, -86.5944124685297 33.74888739541666, -86.59441297053149 33.74888725541615, -86.59441349253342 33.74888718441588, -86.59441402253532 33.74888718441588, -86.59441454453724 33.74888725541615, -86.59441504653904 33.74888739541666, -86.59441551554079 33.74888760041739, -86.59441593854228 33.74888786641839, -86.59441630554363 33.7488881854195, -86.59441660654471 33.74888854942083, -86.59441683354555 33.74888894942228, -86.5944169805461 33.74888937342382, -86.59441704454633 33.74888981242543, -86.59441702354627 33.74889025442707, -86.59441691754586 33.74889068842862, -86.59441672954517 33.7488911014301, -86.59441646454422 33.74889148443151, -86.59441612954299 33.74889182743277, -86.59441573354155 33.74889212043382, -86.59441528653991 33.74889235643468, -86.59441479953819 33.74889253043534, -86.59441428553629 33.74889263543571, -86.59441375753437 33.74889267143584))",True
2,2,3,0,2020-06-16T00:10:45Z,2.30605,4.166,0.901,0.008,0.301,235.6,14,4.3,1,33.7029800415,-86.5475158691,P3,1,P3L3,TRUE,2020-06-16,1.0,3,1.89792522951e-05,2.82608454375e-11,"POLYGON ((-86.5475158690399 33.70298278953317, -86.54751534203797 33.70298275353304, -86.54751482803607 33.70298264853267, -86.54751434103434 33.70298247453201, -86.5475138940327 33.70298223853115, -86.54751349803126 33.7029819455301, -86.54751316303003 33.70298160252884, -86.54751289902907 33.70298121952749, -86.54751271102839 33.70298080652594, -86.54751260502803 33.70298037252439, -86.54751258402791 33.70297993052276, -86.54751264802815 33.70297949152121, -86.54751279502869 33.70297906751966, -86.54751302202953 33.70297866751821, -86.54751332203062 33.70297830351689, -86.54751368903197 33.70297798451571, -86.54751411203347 33.70297771851472, -86.54751458003517 33.70297751351399, -86.54751508203702 33.70297737351348, -86.54751560403889 33.7029773025132, -86.54751613404085 33.7029773025132, -86.54751665604272 33.70297737351348, -86.54751715804457 33.70297751351399, -86.54751762604627 33.70297771851472, -86.54751804904782 33.70297798451571, -86.54751841604912 33.70297830351689, -86.54751871605021 33.70297866751821, -86.54751894305105 33.70297906751966, -86.54751909005159 33.70297949152121, -86.54751915405183 33.70297993052276, -86.54751913305176 33.70298037252439, -86.54751902705135 33.70298080652594, -86.54751883905067 33.70298121952749, -86.54751857504971 33.70298160252884, -86.54751824004848 33.7029819455301, -86.54751784404704 33.70298223853115, -86.54751739704545 33.70298247453201, -86.54751691004367 33.70298264853267, -86.54751639604177 33.70298275353304, -86.5475158690399 33.70298278953317))",True
3,3,4,1,2020-06-16T23:44:16Z,2.05276,4.261,0.749,0.008,0.038,31.8,5,0.1,1,33.6796417236,-86.5649337769,P3,2,P3L5,TRUE,2020-06-16,1.0,4,1.89772034205e-05,2.82555924634e-11,"POLYGON ((-86.56493377736166 33.67964447168811, -86.56493325035973 33.67964443568798, -86.56493273635789 33.67964433068761, -86.5649322493561 33.67964415668695, -86.56493180235447 33.67964392068609, -86.56493140635303 33.67964362768504, -86.56493107235184 33.67964328468378, -86.56493080735083 33.67964290168237, -86.5649306203502 33.67964248868088, -86.56493051434978 33.67964205467933, -86.56493049334972 33.6796416126777, -86.56493055634996 33.67964117367609, -86.5649307043505 33.67964074967455, -86.5649309303513 33.67964034967309, -86.56493123135238 33.67963998567177, -86.56493159735373 33.67963966667065, -86.56493202035529 33.67963940066966, -86.56493248935698 33.67963919566893, -86.56493299035878 33.67963905566842, -86.5649335133607 33.67963898466814, -86.56493404136262 33.67963898466814, -86.56493456436453 33.67963905566842, -86.56493506536634 33.67963919566893, -86.56493553436803 33.67963940066966, -86.56493595736958 33.67963966667065, -86.56493632337089 33.67963998567177, -86.56493662437202 33.67964034967309, -86.56493685037282 33.67964074967455, -86.56493699837335 33.67964117367609, -86.5649370613736 33.6796416126777, -86.56493704037354 33.67964205467933, -86.56493693437312 33.67964248868088, -86.56493674737243 33.67964290168237, -86.56493648237148 33.67964328468378, -86.56493614837029 33.67964362768504, -86.56493575236885 33.67964392068609, -86.56493530536721 33.67964415668695, -86.56493481836543 33.67964433068761, -86.56493430436359 33.67964443568798, -86.56493377736166 33.67964447168811))",True
4,4,5,2,2020-06-16T23:50:59Z,3.65674,8.187,0.947,0.002,1.623,90.6,17,8.7,1,33.6780014038,-86.5537109375,P3,3,P3L6,TRUE,2020-06-16,1.0,5,1.89767184884e-05,2.82543194357e-11,"POLYGON ((-86.55371093756168 33.67800415172479, -86.55371041055975 33.67800411572466, -86.5537098965579 33.67800401072429, -86.55370941055611 33.67800383672369, -86.55370896255448 33.67800360072283, -86.55370856655304 33.67800330772172, -86.55370823255186 33.67800296472052, -86.55370796755091 33.67800258171911, -86.55370778055021 33.67800216871763, -86.5537076745498 33.67800173471602, -86.55370765354974 33.67800129271444, -86.55370771754997 33.67800085371283, -86.55370786455052 33.67800042971129, -86.55370809055131 33.67800002970984, -86.55370839155245 33.67799966570851, -86.55370875755375 33.67799934670734, -86.5537091805553 33.6779990807064, -86.55370964955699 33.67799887570561, -86.5537101505588 33.6779987357051, -86.55371067356072 33.67799866470489, -86.55371120156263 33.67799866470489, -86.55371172456455 33.6779987357051, -86.55371222556636 33.67799887570561, -86.55371269456805 33.6779990807064, -86.5537131175696 33.67799934670734, -86.55371348357096 33.67799966570851, -86.55371378457204 33.67800002970984, -86.55371401057283 33.67800042971129, -86.55371415757338 33.67800085371283, -86.55371422157361 33.67800129271444, -86.55371420057355 33.67800173471602, -86.55371409457314 33.67800216871763, -86.5537139075725 33.67800258171911, -86.55371364257149 33.67800296472052, -86.55371330857031 33.67800330772172, -86.55371291256887 33.67800360072283, -86.55371246456724 33.67800383672369, -86.55371197856545 33.67800401072429, -86.55371146456361 33.67800411572466, -86.55371093756168 33.67800415172479))",True
5,5,6,3,2020-06-16T23:54:01Z,2.17194,5.908,0.765,0.01,0.149,55.7,7,0.5,1,33.6822090149,-86.5501480103,P3,4,P3L7,TRUE,2020-06-16,1.0,6,1.89772034208e-05,2.82555924511e-11,"POLYGON ((-86.55014801060889 33.68221176302131, -86.55014748360696 33.68221172702118, -86.55014696960507 33.68221162202082, -86.55014648260334 33.68221144802021, -86.5501460356017 33.68221121201935, -86.55014563960026 33.68221091901825, -86.55014530559902 33.68221057601704, -86.55014504059807 33.68221019301564, -86.55014485359737 33.68220978001415, -86.55014474759702 33.68220934601254, -86.55014472659695 33.68220890401096, -86.55014478959714 33.68220846500935, -86.55014493759768 33.68220804100781, -86.55014516359853 33.68220764100636, -86.55014546459961 33.68220727700503, -86.55014583060097 33.68220695800386, -86.55014625360246 33.68220669200292, -86.55014672260421 33.68220648700213, -86.55014722360602 33.68220634700162, -86.55014774660793 33.68220627600141, -86.55014827460985 33.68220627600141, -86.55014879761171 33.68220634700162, -86.55014929861358 33.68220648700213, -86.55014976761527 33.68220669200292, -86.55015019061682 33.68220695800386, -86.55015055661812 33.68220727700503, -86.5501508576192 33.68220764100636, -86.55015108362005 33.68220804100781, -86.55015123162059 33.68220846500935, -86.55015129462083 33.68220890401096, -86.55015127362071 33.68220934601254, -86.55015116762036 33.68220978001415, -86.55015098061966 33.68221019301564, -86.55015071561871 33.68221057601704, -86.55015038161747 33.68221091901825, -86.55014998561603 33.68221121201935, -86.55014953861445 33.68221144802021, -86.55014905161266 33.68221162202082, -86.55014853761077 33.68221172702118, -86.55014801060889 33.68221176302131))",True
6,6,7,4,2020-06-17T00:05:51Z,2.42073,4.098,0.931,0.005,0.415,134.5,28,3.0,1,33.6959037781,-86.5420303345,P3,5,P3L8,TRUE,2020-06-17,1.0,7,1.89792523159e-05,2.82608454952e-11,"POLYGON ((-86.54203033409755 33.69590652580786, -86.54202980709562 33.69590648980773, -86.54202929309378 33.6959063848073, -86.54202880609199 33.6959062108067, -86.54202835909035 33.69590597480584, -86.54202796308891 33.69590568180479, -86.54202762808768 33.69590533880353, -86.54202736408672 33.69590495580212, -86.54202717608604 33.69590454280063, -86.54202707008568 33.69590410879903, -86.54202704908562 33.69590366679745, -86.54202711308585 33.69590322779584, -86.54202726008634 33.6959028037943, -86.54202748708718 33.69590240379284, -86.54202778708827 33.69590203979152, -86.54202815408962 33.69590172079035, -86.54202857709117 33.69590145478941, -86.54202904509287 33.69590124978868, -86.54202954709467 33.69590110978817, -86.5420300690966 33.69590103878789, -86.5420305990985 33.69590103878789, -86.54203112110042 33.69590110978817, -86.54203162310222 33.69590124978868, -86.54203209110392 33.69590145478941, -86.54203251410547 33.69590172079035, -86.54203288110682 33.69590203979152, -86.54203318110791 33.69590240379284, -86.54203340810869 33.6959028037943, -86.54203355510924 33.69590322779584, -86.54203361910947 33.69590366679745, -86.54203359810941 33.69590410879903, -86.542033492109 33.69590454280063, -86.54203330410832 33.69590495580212, -86.54203304010736 33.69590533880353, -86.54203270510618 33.69590568180479, -86.54203230910474 33.69590597480584, -86.5420318621031 33.6959062108067, -86.54203137510132 33.6959063848073, -86.54203086109948 33.69590648980773, -86.54203033409755 33.69590652580786))",True
7,7,8,0,2020-06-17T23:55:27Z,2.5956,10.766,0.962,0.011,0.596,323.2,36,16.6,4,33.7074241638,-86.5874023438,P4,1,P4L0,TRUE,2020-06-17,1.0,8,1.89799328861e-05,2.82625045309e-11,"POLYGON ((-86.58740234404479 33.70742691168954, -86.58740181704286 33.70742687568941, -86.58740130304102 33.70742677068898, -86.58740081603923 33.70742659668838, -86.5874003690376 33.70742636068752, -86.58739997303616 33.70742606768647, -86.58739963803498 33.70742572468521, -86.58739937303397 33.7074253416838, -86.58739918603334 33.70742492868231, -86.58739908003292 33.70742449468071, -86.58739905903286 33.70742405267913, -86.5873991220331 33.70742361367752, -86.58739927003364 33.70742318967598, -86.58739949703443 33.70742278967452, -86.58739979703552 33.7074224256732, -86.58740016403686 33.70742210667203, -86.58740058703842 33.70742184067109, -86.58740105504012 33.70742163567036, -86.58740155704191 33.70742149566985, -86.58740207904384 33.70742142466958, -86.58740260904574 33.70742142466958, -86.58740313104767 33.70742149566985, -86.58740363304946 33.70742163567036, -86.58740410105116 33.70742184067109, -86.58740452405272 33.70742210667203, -86.58740489105406 33.7074224256732, -86.58740519105515 33.70742278967452, -86.58740541805599 33.70742318967598, -86.58740556605653 33.70742361367752, -86.58740562905672 33.70742405267913, -86.58740560805666 33.70742449468071, -86.5874055020563 33.70742492868231, -86.58740531505561 33.7074253416838, -86.58740505005466 33.70742572468521, -86.58740471505342 33.70742606768647, -86.58740431905198 33.70742636068752, -86.58740387205034 33.70742659668838, -86.58740338504856 33.70742677068898, -86.58740287104672 33.70742687568941, -86.58740234404479 33.70742691168954))",True
8,8,9,1,2020-06-16T00:22:28Z,2.16846,4.596,0.821,0.011,0.169,278.5,18,2.4,2,33.7173080444,-86.575378418,P4,2,P4L1,TRUE,2020-06-16,1.0,9,1.89818226549e-05,2.82675125231e-11,"POLYGON ((-86.57537841833255 33.71731079262179, -86.57537789133062 33.71731075662166, -86.57537737732872 33.71731065162129, -86.57537689032699 33.71731047762063, -86.57537644332535 33.71731024161977, -86.57537604632392 33.71730994861872, -86.57537571232268 33.71730960561746, -86.57537544732173 33.71730922261605, -86.57537525932105 33.71730880961456, -86.57537515432068 33.71730837561302, -86.57537513232057 33.71730793361138, -86.57537519632081 33.71730749460977, -86.57537534332135 33.71730707060823, -86.57537557032219 33.71730667060677, -86.57537587132327 33.71730630660545, -86.57537623732458 33.71730598760433, -86.57537666032613 33.71730572160334, -86.57537712932782 33.71730551660261, -86.57537763132967 33.7173053766021, -86.57537815333154 33.71730530560183, -86.5753786833335 33.71730530560183, -86.57537920533537 33.7173053766021, -86.57537970733722 33.71730551660261, -86.57538017633891 33.71730572160334, -86.57538059934046 33.71730598760433, -86.57538096534176 33.71730630660545, -86.5753812663429 33.71730667060677, -86.57538149334368 33.71730707060823, -86.57538164034423 33.71730749460977, -86.57538170434447 33.71730793361138, -86.57538168234441 33.71730837561302, -86.57538157734399 33.71730880961456, -86.57538138934331 33.71730922261605, -86.57538112434236 33.71730960561746, -86.57538079034117 33.71730994861872, -86.57538039333969 33.71731024161977, -86.5753799463381 33.71731047762063, -86.57537945933632 33.71731065162129, -86.57537894533442 33.71731075662166, -86.57537841833255 33.71731079262179))",True
9,9,10,2,2020-06-18T00:18:32Z,2.7688,17.681,0.983,0.011,0.781,286.9,22,87.3,5,33.7242889404,-86.5617599487,P4,3,P4L2,TRUE,2020-06-18,1.0,10,1.89826542284e-05,2.82697845147e-11,"POLYGON ((-86.56175994882341 33.72429168800039, -86.56175942082149 33.72429165200026, -86.56175890781958 33.72429154699989, -86.56175842081785 33.72429137299929, -86.56175797281622 33.72429113699843, -86.56175757681478 33.72429084399732, -86.56175724181355 33.72429050099612, -86.56175697781259 33.72429011799471, -86.56175678981191 33.72428970499323, -86.5617566838115 33.72428927099162, -86.56175666281143 33.72428882899004, -86.56175672681167 33.72428838998843, -86.56175687381221 33.72428796598689, -86.56175710081305 33.72428756598543, -86.56175740181413 33.72428720198411, -86.56175776781544 33.72428688298294, -86.56175819081699 33.724286616982, -86.56175865981868 33.72428641198121, -86.56175916182053 33.7242862719807, -86.5617596838224 33.72428620098049, -86.56176021382436 33.72428620098049, -86.56176073582623 33.7242862719807, -86.56176123782808 33.72428641198121, -86.56176170682977 33.724286616982, -86.56176212983132 33.72428688298294, -86.56176249583262 33.72428720198411, -86.56176279683376 33.72428756598543, -86.56176302383454 33.72428796598689, -86.56176317083509 33.72428838998843, -86.56176323483533 33.72428882899004, -86.56176321383526 33.72428927099162, -86.56176310783485 33.72428970499323, -86.56176291983417 33.72429011799471, -86.56176265583321 33.72429050099612, -86.56176232083203 33.72429084399732, -86.56176192483059 33.72429113699843, -86.56176147682896 33.72429137299929, -86.56176098982718 33.72429154699989, -86.56176047682533 33.72429165200026, -86.56175994882341 33.72429168800039))",True
