nearest10hz,timestamp,deviceTimestamp,devTimestamp,P,T,CH4,H2O,C2H6,R,C1C2,batteryCharge,powerInput,current,SOC,aerisTimestamp,nearestMS,nearest10hz,shiftCH4,shiftC2H6
1605814263.7,1605814263.71536,1605814263.714608,11/19/2020 13:31:56.478,239.99,19.8413,2.01989,9140.99,27.6758,0.93468,0.199174,12296,14692,236.0,92.0,1605792716.478,1605814263.715,1605814263.7,2.01542,26.7661
1605814264.8,1605814264.790532,1605814264.790532,11/19/2020 13:31:57.502,239.985,19.8434,2.01917,9123.21,27.329,0.928945,0.200786,12296,14692,236.0,92.0,1605792717.502,1605814264.791,1605814264.8,2.01683,26.0514
1605814265.8,1605814265.758883,1605814265.758883,11/19/2020 13:31:58.526,239.989,19.8463,2.01542,9108.12,26.4016,0.9217420000000001,0.201638,12297,14689,230.0,92.0,1605792718.526,1605814265.759,1605814265.8,2.02243,25.3017
1605814266.8,1605814266.770192,1605814266.770192,11/19/2020 13:31:59.550,239.99,19.8491,2.01937,9082.34,26.903000000000002,0.900867,0.208378,12302,14701,228.0,92.0,1605792719.55,1605814266.77,1605814266.8,2.01479,25.0557
1605814267.8,1605814267.800431,1605814267.799691,11/19/2020 13:32:00.574,239.99099999999999,19.8522,2.01542,9056.75,26.7661,0.87526,0.215824,12303,14701,233.0,92.0,1605792720.574,1605814267.8,1605814267.8,2.01353,24.6646
1605814268.8,1605814268.824707,1605814268.824707,11/19/2020 13:32:01.598,239.987,19.8547,2.01683,9035.16,26.0514,0.8330489999999999,0.225225,12311,14720,239.0,92.0,1605792721.5979998,1605814268.825,1605814268.8,2.02006,25.5288
1605814269.9,1605814269.908847,1605814269.907907,11/19/2020 13:32:02.622,239.99,19.857,2.02243,9012.14,25.3017,0.752037,0.23263699999999998,12308,14724,238.0,92.0,1605792722.6220002,1605814269.909,1605814269.9,2.01844,24.2186
1605814270.9,1605814270.916098,1605814270.915369,11/19/2020 13:32:03.646,239.98,19.8595,2.01479,8989.77,25.0557,0.7010310000000001,0.25392800000000004,12304,14726,240.0,92.0,1605792723.6460001,1605814270.916,1605814270.9,2.01799,24.9519
1605814271.9,1605814271.88251,1605814271.88251,11/19/2020 13:32:04.670,239.97299999999998,19.8621,2.01353,8957.51,24.6646,0.6720550000000001,-1.0,12305,14703,242.0,92.0,1605792724.67,1605814271.883,1605814271.9,2.0163900000000003,24.7741
1605814272.9,1605814272.9128098,1605814272.911813,11/19/2020 13:32:05.694,239.998,19.865,2.02006,8934.7,25.5288,0.599346,-1.0,12295,14712,239.0,92.0,1605792725.694,1605814272.913,1605814272.9,2.0192200000000002,23.5847
1605814273.9,1605814273.943004,1605814273.9422212,11/19/2020 13:32:06.718,239.997,19.8677,2.01844,8914.56,24.2186,0.563203,-1.0,12296,14698,235.0,92.0,1605792726.718,1605814273.943,1605814273.9,2.01626,23.6009
1605814275.0,1605814274.974241,1605814274.974241,11/19/2020 13:32:07.742,240.00799999999998,19.8707,2.01799,8902.76,24.9519,0.520766,-1.0,12296,14698,235.0,92.0,1605792727.742,1605814274.974,1605814275.0,2.0184,23.5186
1605814276.0,1605814275.986596,1605814275.985585,11/19/2020 13:32:08.766,239.997,19.8732,2.0163900000000003,8906.47,24.7741,0.515338,-1.0,12298,14670,229.0,92.0,1605792728.766,1605814275.987,1605814276.0,2.0156,23.4876
