DATE,TIME,SECONDS,NANOSECONDS,VELOCITY,U,V,W,BCH4,BRSSI,TCH4,TRSSI,PRESS_MBAR,INLET,TEMPC,CH4,H20,C2H6,R,C2C1,BATTV,POWMV,CURRMA,SOCPER,LAT,LONG,bearing,U_cor,horz_length,adj_theta,totalWind,phi,raw_CH4,distance,odometer
2020-05-10,20:42:42,1589164962,414000000,0.9438983173433744,0,0,0,2.11856,0,2.11856,0,240.013,0,24.1757,2.11856,7171.87,6.8949,0.590565,-1.0,11642,12975,721,57,40.574832916300004,-105.0949401855,4.712389110279277,0.9438983173433744,0.9438983173433744,9.125495783078769,0.9438983173433744,0.7565457723980997,2.11856,1.9331036206938366,1.9331036206938366
2020-05-10,20:42:43,1589164963,438000000,2.241055064266817,0,0,0,2.12501,0,2.12501,0,239.976,0,24.1793,2.12501,7175.03,7.0474,0.49459,-1.0,11666,12970,754,57,40.574832916300004,-105.0949554443,4.526481550819382,2.241055064266817,2.241055064266817,8.333799906044835,2.241055064266817,1.151091630499708,2.12501,4.589680455307416,6.522784076001253
2020-05-10,20:42:44,1589164964,462000000,3.865434921786173,0,0,0,2.12804,0,2.12804,0,240.007,0,24.1836,2.12804,7178.46,6.13716,0.1371,-1.0,11684,12898,759,57,40.5748252869,-105.0949935913,4.49638666808673,3.865434921786173,3.865434921786173,7.672804125713087,3.865434921786173,1.317643431561856,2.12804,7.916411095827415,14.439195171828668
2020-05-10,20:42:45,1589164965,486000000,5.139555393241379,0,0,0,2.13612,0,2.13612,0,239.983,0,24.1867,2.13612,7174.33,6.55045,-0.155425,-1.0,11705,12905,772,57,40.5748176575,-105.09504699709998,4.509507785306386,5.139555393241379,5.139555393241379,7.43259612233078,5.139555393241379,1.3786279483081658,2.13612,10.525809945307465,24.965005117136133
2020-05-10,20:42:46,1589164966,510000000,6.151343011517675,0,0,0,2.12594,0,2.12594,0,239.995,0,24.1904,2.12594,7178.52,6.420380000000001,-0.180797,-1.0,11699,12829,747,57,40.5748062134,-105.0951156616,4.474459966028917,6.151343011517675,6.151343011517675,7.2788673908289665,6.151343011517675,1.4096399986365398,2.12594,12.597949619364277,37.56295473650041
2020-05-10,20:42:47,1589164967,534000000,6.203425425217403,0,0,0,2.12071,0,2.12071,0,240.00799999999998,0,24.1945,2.12071,7173.94,5.61125,-0.0551865,-1.0,11693,12846,739,57,40.5747909546,-105.0951919556,4.442007414564253,6.203425425217403,6.203425425217403,7.241532012246298,6.203425425217403,1.4109700084460035,2.12071,12.704615874282085,50.26757061078249
2020-05-10,20:42:48,1589164968,558000000,5.900821854962666,0,0,0,2.11607,0,2.11607,0,240.015,0,24.1984,2.11607,7171.22,5.59694,0.12626400000000002,-1.0,11688,12833,742,57,40.5747756958,-105.0952606201,4.427765066169499,5.900821854962666,5.900821854962666,7.257101603957256,5.900821854962666,1.4029233508690746,2.11607,12.08488373296469,62.35245434374718
2020-05-10,20:42:49,1589164969,582000000,5.5995449591436115,0,0,0,2.1101,0,2.1101,0,239.99400000000003,0,24.202,2.1101,7163.1,5.12805,0.35657300000000003,-1.0,11688,12833,742,57,40.574760436999995,-105.0953292847,4.41198663237462,5.5995449591436115,5.5995449591436115,7.274843726103111,5.5995449591436115,1.3940734077862955,2.1101,11.467867285985069,73.82032162973225
2020-05-10,20:42:50,1589164970,606000000,5.541790970844616,0,0,0,2.11102,0,2.11102,0,240.00099999999998,0,24.2054,2.11102,7160.65,4.53745,0.49800200000000006,-1.0,11683,12826,735,57,40.574745178200004,-105.09539031979999,4.447694211910289,5.541790970844616,5.541790970844616,7.317471792296506,5.541790970844616,1.3922703729037877,2.11102,11.349588447366273,85.16991007709852
2020-05-10,20:42:51,1589164971,630000000,5.798155924747275,0,0,0,2.11165,0,2.11165,0,240.00599999999997,0,24.2094,2.11165,7146.48,4.82755,0.5693699999999999,-1.0,11667,12813,718,57,40.5747337341,-105.09545898440001,4.496387062038594,5.798155924747275,5.798155924747275,7.336683130297979,5.798155924747275,1.4000078634485504,2.11165,11.874623897896763,97.04453397499529
2020-05-10,20:42:52,1589164972,654000000,5.723694562858605,0,0,0,2.11346,0,2.11346,0,240.007,0,24.2135,2.11346,7142.29,4.53679,0.610827,-1.0,11651,12826,720,57,40.57472229,-105.09552764889999,4.5671360523057105,5.723694562858605,5.723694562858605,7.415673415851587,5.723694562858605,1.3978297981144479,2.11346,11.72212565687043,108.76665963186572
2020-05-10,20:42:53,1589164973,678000000,5.051164644820983,0,0,0,2.10955,0,2.10955,0,239.99400000000003,0,24.2163,2.10955,7142.27,3.8863800000000004,0.670702,-1.0,11636,12683,721,58,40.5747184753,-105.09559631350001,4.630289910096735,5.051164644820983,5.051164644820983,7.566426526785898,5.051164644820983,1.3753494615115456,2.10955,10.344784479652807,119.11144411151852
