nearest10hz,timestamp,deviceTimestamp,deviceID,sequenceID,windSpeed,windAngle,windReference,nearestMS,wind_up,wind_right
1601568756.8,1601568756.793872,1601568756.79305,35,182,4.26,4.2358,250,1601568756.794,-1.9542789955301698,-3.7852864630869867
1601568756.9,1601568756.8935368,1601568756.892733,35,183,3.85,4.3091,250,1601568756.894,-1.5109154912616845,-3.5411346173600156
1601568757.0,1601568756.9917688,1601568756.99099,35,184,3.7,4.3527000000000005,250,1601568756.992,-1.302337595694199,-3.463223467644191
1601568757.1,1601568757.090506,1601568757.089148,35,185,3.6,4.4103,250,1601568757.091,-1.0710548625432847,-3.4369814490948865
1601568757.2,1601568757.198913,1601568757.198913,35,186,3.6,4.4382,250,1601568757.199,-0.9747586872819315,-3.465522399519069
1601568757.3,1601568757.300637,1601568757.300637,35,187,3.54,4.4801,250,1601568757.301,-0.8149279218186389,-3.4449227106337745
1601568757.4,1601568757.399897,1601568757.39935,35,188,3.54,4.5098,250,1601568757.4,-0.7122693649061992,-3.467603257556452
1601568757.5,1601568757.488665,1601568757.48767,35,189,3.39,4.5447000000000015,250,1601568757.489,-0.5658052162370507,-3.342448871303635
1601568757.6,1601568757.588559,1601568757.5878859,35,190,3.39,4.5674,250,1601568757.589,-0.4897923722156274,-3.3544304184346094
1601568757.7,1601568757.701273,1601568757.7005131,35,191,3.29,4.5779000000000005,250,1601568757.701,-0.44113610811357745,-3.2602912345553436
1601568757.8,1601568757.788918,1601568757.788024,35,192,3.24,4.5674,250,1601568757.789,-0.4681201433565288,-3.2060042937251136
1601568757.9,1601568757.888864,1601568757.887131,35,193,3.18,4.5046,250,1601568757.889,-0.6560242899718346,-3.1115963958982453
1601568758.0,1601568757.986527,1601568757.986527,35,194,3.08,4.4156,250,1601568757.987,-0.9007493394163181,-2.945343889521403
1601568758.1,1601568758.087207,1601568758.0863,35,195,3.18,4.3283000000000005,250,1601568758.087,-1.191592585294828,-2.948305803452279
1601568758.2,1601568758.198031,1601568758.197446,35,196,3.29,4.2829000000000015,250,1601568758.198,-1.3699765581922692,-2.9911977918559085
1601568758.3,1601568758.3086948,1601568758.3079462,35,197,3.54,4.2358,250,1601568758.309,-1.6239783202292961,-3.14551973693144
1601568758.4,1601568758.385349,1601568758.384783,35,198,3.7,4.2148,250,1601568758.385,-1.7660406301908929,-3.2513228834606624
1601568758.5,1601568758.483884,1601568758.483567,35,199,3.75,4.1974,250,1601568758.484,-1.8469697201819895,-3.2636180617117048
1601568758.6,1601568758.593349,1601568758.592801,35,200,3.85,4.1555,250,1601568758.593,-2.0349090468534605,-3.2682786250615083
1601568758.7,1601568758.692513,1601568758.691957,35,201,3.96,4.1398,250,1601568758.693,-2.1455672154145087,-3.328384191186233
1601568758.8,1601568758.790462,1601568758.790462,35,202,4.0600000000000005,4.1241,250,1601568758.79,-2.2530501208350193,-3.377479112149372
1601568758.9,1601568758.888901,1601568758.888124,35,203,4.0600000000000005,4.1293000000000015,250,1601568758.889,-2.2354568474328342,-3.389149256563608
1601568759.0,1601568758.98723,1601568758.986848,35,204,4.0600000000000005,4.1607,250,1601568758.987,-2.127953102468595,-3.457660421975282
1601568759.1,1601568759.086277,1601568759.085014,35,205,4.01,4.1974,250,1601568759.086,-1.9750262874479407,-3.4898955806570493
1601568759.2,1601568759.196003,1601568759.196003,35,206,3.96,4.2183,250,1601568759.196,-1.8779499505739643,-3.4863883867319267
1601568759.3,1601568759.2996962,1601568759.29471,35,207,3.96,4.2375,250,1601568759.3,-1.8106692730825102,-3.5218002191372033
1601568759.4,1601568759.40518,1601568759.404285,35,208,3.9,4.2602,250,1601568759.405,-1.7040486507875252,-3.508021977660518
1601568759.5,1601568759.492458,1601568759.492458,35,209,3.9,4.2707000000000015,250,1601568759.492,-1.6671211620285007,-3.5257207817858665
1601568759.6,1601568759.5910509,1601568759.590266,35,210,3.8,4.3161000000000005,250,1601568759.591,-1.4667908544325607,-3.505499192604813
1601568759.7,1601568759.702004,1601568759.701212,35,211,3.75,4.3423,250,1601568759.702,-1.3563689601719058,-3.4961068696311592
1601568759.8,1601568759.787932,1601568759.787932,35,212,3.7,4.3719,250,1601568759.788,-1.2356077509332786,-3.4875884914699453
1601568759.9,1601568759.8891509,1601568759.8881571,35,213,3.7,4.3789,250,1601568759.889,-1.2111645586000246,-3.496152229521937
1601568760.0,1601568759.986773,1601568759.986186,35,214,3.8,4.3719,250,1601568759.987,-1.269002555012556,-3.581847639888051
1601568760.1,1601568760.090497,1601568760.0896802,35,215,3.7,4.3929,250,1601568760.09,-1.1621013340899156,-3.5127653621194854
1601568760.2,1601568760.201142,1601568760.2004411,35,216,3.65,4.4295,250,1601568760.201,-1.0188280103941232,-3.5049236061912037
1601568760.3,1601568760.303414,1601568760.302652,35,217,3.54,4.4592,250,1601568760.303,-0.8867435870924821,-3.4271395960407505
1601568760.4,1601568760.403144,1601568760.402391,35,218,3.49,4.4749,250,1601568760.403,-0.821067279837799,-3.3920419398910386
1601568760.5,1601568760.49218,1601568760.490527,35,219,3.44,4.5150000000000015,250,1601568760.492,-0.6746173110250524,-3.373201963070893
1601568760.6,1601568760.588391,1601568760.588391,35,220,3.54,4.5307,250,1601568760.588,-0.639646175328438,-3.4817312892277745
1601568760.7,1601568760.692184,1601568760.691414,35,221,3.65,4.5098,250,1601568760.692,-0.7344020287874652,-3.5753536412658335
1601568760.8,1601568760.791885,1601568760.791089,35,222,3.7,4.5098,250,1601568760.792,-0.7444623305516771,-3.6243310884064615
1601568760.9,1601568760.891021,1601568760.890208,35,223,3.85,4.4976,250,1601568760.891,-0.8205938601219437,-3.761532362844984
1601568761.0,1601568760.99169,1601568760.9909039,35,224,3.85,4.4854,250,1601568760.992,-0.8664223487243347,-3.7512414363289133
1601568761.1,1601568761.090689,1601568761.089865,35,225,3.9,4.4644,250,1601568761.091,-0.9572743377870486,-3.7806911857773264
1601568761.2,1601568761.201584,1601568761.201584,35,226,3.85,4.4313,250,1601568761.202,-1.067997911812056,-3.698902602173392
1601568761.3,1601568761.307551,1601568761.301524,35,227,3.85,4.4225,250,1601568761.308,-1.1005064819841004,-3.6893611212662525
1601568761.4,1601568761.390532,1601568761.390532,35,228,3.85,4.3999000000000015,250,1601568761.391,-1.1835979102985894,-3.663549643001554
1601568761.5,1601568761.492067,1601568761.492067,35,229,3.9,4.3859,250,1601568761.492,-1.2508059123887418,-3.6939795031284848
1601568761.6,1601568761.591749,1601568761.590766,35,230,3.9,4.3719,250,1601568761.592,-1.302397359091834,-3.676106788306158
1601568761.7,1601568761.7035382,1601568761.702709,35,231,3.8,4.3580000000000005,250,1601568761.704,-1.3186660439581341,-3.563863053557446
1601568761.8,1601568761.792248,1601568761.7918632,35,232,3.75,4.343999999999999,250,1601568761.792,-1.3504236214035872,-3.498407643879601
1601568761.9,1601568761.891459,1601568761.890708,35,233,3.6,4.3353,250,1601568761.891,-1.325575946395397,-3.347065641773096
1601568762.0,1601568761.991258,1601568761.990485,35,234,3.49,4.3335,250,1601568761.991,-1.2909107814966982,-3.242475806265266
1601568762.1,1601568762.091658,1601568762.0911741,35,235,3.49,4.3231,250,1601568762.092,-1.3245621101686034,-3.22887522464181
1601568762.2,1601568762.200275,1601568762.199889,35,236,3.65,4.2724,250,1601568762.2,-1.554642656840733,-3.3023607025173956
1601568762.3,1601568762.301802,1601568762.300818,35,237,3.8,4.2445,250,1601568762.302,-1.7138120061399054,-3.391584940350265
1601568762.4,1601568762.400365,1601568762.399611,35,238,3.9,4.2201,250,1601568762.4,-1.8433127548220238,-3.4368878491900836
1601568762.5,1601568762.489623,1601568762.489184,35,239,3.96,4.2044000000000015,250,1601568762.49,-1.9262277722121357,-3.4599489258598415
1601568762.6,1601568762.588859,1601568762.587684,35,240,3.85,4.2061,250,1601568762.589,-1.867000215181927,-3.3670179976517263
1601568762.7,1601568762.690938,1601568762.6901891,35,241,3.85,4.1869000000000005,250,1601568762.691,-1.9312988740057437,-3.330553206190249
1601568762.8,1601568762.789749,1601568762.789749,35,242,3.9,4.1695,250,1601568762.79,-2.0147858102623624,-3.3392571237874797
1601568762.9,1601568762.888583,1601568762.887943,35,243,3.96,4.1223,250,1601568762.889,-2.2034824342006223,-3.2903290355478583
1601568763.0,1601568762.9877331,1601568762.986993,35,244,3.8,4.0822,250,1601568762.988,-2.239330305327844,-3.0700813969079555
1601568763.1,1601568763.086535,1601568763.085969,35,245,3.75,4.0613,250,1601568763.087,-2.2726986238770537,-2.9828410894694586
1601568763.2,1601568763.199175,1601568763.1988132,35,246,3.6,4.0298,250,1601568763.199,-2.270894525799055,-2.7933918544837
1601568763.3,1601568763.3118598,1601568763.311322,35,247,3.54,4.0281,250,1601568763.312,-2.2377126747521787,-2.7430351775457513
1601568763.4,1601568763.401798,1601568763.400261,35,248,3.49,4.0386000000000015,250,1601568763.402,-2.177590411476498,-2.7273063634006385
1601568763.5,1601568763.489325,1601568763.4887211,35,249,3.24,4.0508000000000015,250,1601568763.489,-1.990563205066966,-2.5564150927878533
1601568763.6,1601568763.588305,1601568763.588049,35,250,2.93,4.0578,250,1601568763.588,-1.7838813745343087,-2.3243638358892067
1601568763.7,1601568763.698852,1601568763.6980119,35,0,2.82,4.0665,250,1601568763.699,-1.697382209359682,-2.2519532933320896
1601568763.8,1601568763.786536,1601568763.785784,35,1,2.82,4.0508000000000015,250,1601568763.787,-1.7325272340397664,-2.2250279511301683
1601568763.9,1601568763.885498,1601568763.885498,35,2,2.88,4.0298,250,1601568763.885,-1.8167156206392439,-2.23471348358696
1601568764.0,1601568763.995031,1601568763.994462,35,3,2.98,4.0194,250,1601568763.995,-1.903741932276403,-2.292633127059911
1601568764.1,1601568764.094676,1601568764.094676,35,4,3.08,4.0229,250,1601568764.095,-1.95932037003545,-2.3764392875821905
1601568764.2,1601568764.193242,1601568764.192558,35,5,3.18,4.0246,250,1601568764.193,-2.018760632740643,-2.457031849141684
1601568764.3,1601568764.30996,1601568764.3090231,35,6,3.24,4.0281,250,1601568764.31,-2.0480760074002995,-2.510574569279162
1601568764.4,1601568764.396179,1601568764.396179,35,7,3.44,4.0106,250,1601568764.396,-2.220812204900515,-2.6270883408376116
1601568764.5,1601568764.4947,1601568764.493702,35,8,3.54,3.9915,250,1601568764.495,-2.3365867416498394,-2.6593161524621673
1601568764.6,1601568764.594443,1601568764.59344,35,9,3.65,3.981,250,1601568764.594,-2.4378496876525455,-2.7165030646793653
1601568764.7,1601568764.695296,1601568764.694705,35,10,3.75,3.9723,250,1601568764.695,-2.5288260681568318,-2.7690320902818115
1601568764.8,1601568764.7953901,1601568764.793777,35,11,3.85,3.9723,250,1601568764.795,-2.5962614299743474,-2.84287294602266
1601568764.9,1601568764.894313,1601568764.893436,35,12,3.96,3.9792,250,1601568764.894,-2.6502006430695553,-2.942454171516307
1601568765.0,1601568764.992411,1601568764.991844,35,13,4.01,3.9827,250,1601568764.992,-2.6732177339780177,-2.9889809211076326
1601568765.1,1601568765.0914118,1601568765.09065,35,14,4.0600000000000005,3.9984,250,1601568765.091,-2.6587058907637666,-3.0683681308503465
1601568765.2,1601568765.2015321,1601568765.200801,35,15,4.0600000000000005,4.0072,250,1601568765.202,-2.6316016552843426,-3.0916456342706407
1601568765.3,1601568765.302541,1601568765.301267,35,16,3.96,4.0072,250,1601568765.303,-2.5667838805236443,-3.0154967270225947
1601568765.4,1601568765.400463,1601568765.3997061,35,17,3.9,4.0229,250,1601568765.4,-2.480957611408524,-3.009127669341085
1601568765.5,1601568765.489229,1601568765.488277,35,18,3.9,4.0159,250,1601568765.489,-2.5019605498592528,-2.9916873845620944
1601568765.6,1601568765.5871038,1601568765.5862598,35,19,3.9,4.0106,250,1601568765.587,-2.51778127881163,-2.9783850375775245
1601568765.7,1601568765.6967301,1601568765.6967301,35,20,3.9,3.9949,250,1601568765.697,-2.5642297053401806,-2.9384904318801195
1601568765.8,1601568765.795021,1601568765.7943099,35,21,3.85,3.9827,250,1601568765.795,-2.566555679754456,-2.8697198369736623
1601568765.9,1601568765.89474,1601568765.8941948,35,22,3.7,3.9792,250,1601568765.895,-2.4761975705447865,-2.749262736012711
1601568766.0,1601568765.99452,1601568765.993699,35,23,3.6,3.9862,250,1601568765.995,-2.3904897294801817,-2.6917575769838127
1601568766.1,1601568766.0921779,1601568766.0915391,35,24,3.54,3.988,250,1601568766.092,-2.3458800176012553,-2.6511218272684363
1601568766.2,1601568766.199501,1601568766.199064,35,25,3.44,3.981,250,1601568766.2,-2.2975898426095225,-2.560211107533429
1601568766.3,1601568766.309425,1601568766.308747,35,26,3.39,3.9739999999999998,250,1601568766.309,-2.2818000157930185,-2.5070876905140316
1601568766.4,1601568766.397311,1601568766.396551,35,27,3.39,3.9688,250,1601568766.397,-2.294805963164308,-2.4951884881558617
1601568766.5,1601568766.485671,1601568766.485153,35,28,3.34,3.9705,250,1601568766.486,-2.256776745763358,-2.4622263746011956
1601568766.6,1601568766.5935571,1601568766.5935571,35,29,3.34,3.9739999999999998,250,1601568766.594,-2.2481451483034456,-2.4701099959636768
1601568766.7,1601568766.686051,1601568766.6854892,35,30,3.29,3.9827,250,1601568766.686,-2.1932384899719897,-2.452306042504766
1601568766.8,1601568766.7943141,1601568766.793578,35,31,3.29,3.9897,250,1601568766.794,-2.176018753740685,-2.4675985053020346
1601568766.9,1601568766.8938491,1601568766.893232,35,32,3.34,3.9984,250,1601568766.894,-2.187211250037187,-2.5242240288276245
1601568767.0,1601568766.993814,1601568766.9932618,35,33,3.39,3.9932,250,1601568766.994,-2.2332463211028073,-2.550433466938665
1601568767.1,1601568767.093757,1601568767.092943,35,34,3.6,4.0141,250,1601568767.094,-2.314469105601738,-2.7573960105895368
1601568767.2,1601568767.194434,1601568767.193871,35,35,3.85,4.0194,250,1601568767.194,-2.4595323621691785,-2.9619589057653215
1601568767.3,1601568767.29779,1601568767.296705,35,36,3.96,4.0246,250,1601568767.298,-2.5139283351109887,-3.0597000385537947
