,which1,timestamp,deviceTimestamp,name,channel,deviceID,latitude,longitude,locDevice,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_east,windSpeed,windAngle,windReference,nearestMS,filledLat,filledLon,filled_velocity,filled_bearing,filled_bearing_n,filled_bearing_e,delta,theorWindNS,theorWindEW,theorWS
29795,fulltime,,,,,,,,,,,,,,,,,,,,,,2.98,3.2026000000000003,248.0,1603489177.793,40.54609299791666,-105.03617659305556,1.382424288190979,3.065750079122088,-1.3784502749681653,0.10474613129144315,0.0,1.6012218058986853,0.060538773277036384,1.6023658180188867
29904,fulltime,,,,,,,,,,,,,,,,,,,,,,2.98,3.2148000000000003,248.0,1603489177.902,40.546091133333334,-105.0361765,1.6869324501171423,3.090977038237043,-1.6847720011242313,0.08534867008968462,0.0,1.2944675556147764,0.15266630196693293,1.3034390098104143
30002,fulltime,,,,,,,,,,,,,,,,,,,,,,2.98,3.2305,248.0,1603489178.0,40.546089571428574,-105.0361764122449,2.122207685177394,3.115395776272417,-2.1214795163174305,0.05558885564169334,0.0,0.852662825342362,0.24234359198432265,0.8864334776488776
30103,fulltime,,,,,,,,,,,,,,,,,,,,,,2.98,3.22,248.0,1603489178.101,40.54608818636364,-105.03617631909091,1.552441694777945,3.0892348051659018,-1.5503142922508026,0.0812453748093411,0.0,1.4286746861678592,0.15886409974176963,1.4374801428484478
30199,fulltime,,,,,,,,,,,,,,,,,,,,,,2.98,3.213,248.0,1603489178.197,40.54608662159091,-105.03617621477274,1.686932454079234,3.0909770382388544,-1.6847720050814035,0.08534867028709085,0.0,1.2945838969626593,0.14730356480889137,1.3029373762696472
30351,fulltime,,,,,,,,,,,,,,,,,,,,,,2.98,3.1938,248.0,1603489178.349,40.546084910714285,-105.03617610071429,1.4649678005657574,3.090977034000115,-1.4630916206754983,0.07411859553186809,0.0,1.5169046042698344,0.07886193945409033,1.5189531868854562
30401,fulltime,,,,,,,,,,,,,,,,,,,,,,2.98,3.1781,248.0,1603489178.399,40.546084003658535,-105.0361760402439,1.5045618193648966,3.090977026440012,-1.5026349309574336,0.07612182707447578,0.0,1.4770684990195262,0.03408054517751262,1.4774616185726763
30499,fulltime,,,,,,,,,,,,,,,,,,,,,,3.03,3.1607000000000003,248.0,1603489178.497,40.546082292045455,-105.03617592613637,1.9647788170795155,3.0909770284689975,-1.9622625301621743,0.09940604994628106,0.0,1.0662335452497747,0.003951761334281878,1.066240868393979
30601,fulltime,,,,,,,,,,,,,,,,,,,,,,3.13,3.1555,248.0,1603489178.599,40.546080726732676,-105.03617582178218,1.76726095031834,3.0909770273909025,-1.7649976239023826,0.08941282983457434,0.0,1.3628937788261928,-0.025458283752191016,1.3631315331158422
30702,fulltime,,,,,,,,,,,,,,,,,,,,,,3.24,3.1363000000000003,248.0,1603489178.7,40.54607919081632,-105.03617571938776,1.67845400580168,3.0909770294734598,-1.676304414381083,0.08491972631962705,0.0,1.5586332129255125,-0.09612874077130067,1.5615947704948239
30798,fulltime,,,,,,,,,,,,,,,,,,,,,,3.39,3.1363000000000003,248.0,1603489178.796,40.54607805073529,-105.03617564338236,1.4274042558696334,3.0909770315560143,-1.4255761833224567,0.0722181086606318,0.0,1.9591270752724617,-0.1172122248578985,1.962630276624145
